Channel Name,Video URL,Views,Likes,Dislikes,Title,# Of Title Chars,# Of Description Chars
bald and bankrupt,https://www.youtube.com/watch?v=mPcdI77D1Hs,"894,202 views",13K,301,🇲🇲 The Road To Mandalay | Burma Travels,39,184
bald and bankrupt,https://www.youtube.com/watch?v=tRC1_AK1-do,"431,597 views",9.2K,150,🇲🇲 Lost In Burma | Adventures In Squiggle Town,46,123
bald and bankrupt,https://www.youtube.com/watch?v=1XkDqwS7gBk,"441,984 views",10K,270,World's Cheapest Barber Shop | Unexpected Ending In Burma!,58,171
bald and bankrupt,https://www.youtube.com/watch?v=-Lu_6_r5n1U,"722,182 views",12K,527,🇲🇲 Trying 20¢ Cold Burmese Noodles | Worst Meal Ever!,53,219
bald and bankrupt,https://www.youtube.com/watch?v=07NPy_P2iNU,"2,015,863 views",29K,1.2K,Crossing The India-Burma Border On Foot | Welcome To Squiggle Town,66,216
bald and bankrupt,https://www.youtube.com/watch?v=zK95gclGGCM,"1,273,563 views",20K,1.1K,Inside India's Smuggling Town 🇮🇳,32,191
bald and bankrupt,https://www.youtube.com/watch?v=zu15oReAe2k,"1,835,955 views",32K,1.1K,India's Unknown Border | Journey To The Edge Of India 🇮🇳,56,589
bald and bankrupt,https://www.youtube.com/watch?v=xxVWiH8J07Q,"969,102 views",24K,511,India's Women Only Market | 🚷 Men Not Allowed,45,256
bald and bankrupt,https://www.youtube.com/watch?v=FP272JO8FgA,"2,824,941 views",42K,1.1K,🇮🇳 Trying $1.50 Banana Leaf Thali | India Food Vlog,51,156
bald and bankrupt,https://www.youtube.com/watch?v=yQSMVCvcnUk,"4,118,187 views",75K,3.9K,Is This India?! First Time In North East 🇮🇳,43,153
bald and bankrupt,https://www.youtube.com/watch?v=RRK5-9BfLPs,"888,730 views",40K,636,Foreigner Gives 3 Lakhs to Pakistani Refugees In Delhi!!! 🇮🇳,60,544
bald and bankrupt,https://www.youtube.com/watch?v=Y0S7dOIEms4,"745,376 views",16K,377,🇮🇳 India Outtakes 🇮🇳,20,172
bald and bankrupt,https://www.youtube.com/watch?v=kSahiVJa9a8,"1,619,781 views",27K,995,Lost On GB Road | Tales From India 🇮🇳,37,220
bald and bankrupt,https://www.youtube.com/watch?v=x7sc1CiAAt4,"1,896,041 views",34K,1.5K,Delhi's Worst Bazaar? | Paharganj 🇮🇳,36,371
bald and bankrupt,https://www.youtube.com/watch?v=L3YggRi_IYM,"4,985,834 views",71K,3.7K,🇮🇳 $2 Indian Street Massage | Pain or Pleasure?,47,192
bald and bankrupt,https://www.youtube.com/watch?v=3Gqv4ZvWXLg,"1,438,361 views",39K,2.2K,Narendra Modi Why Won't You Help These Hindus?!,47,217
bald and bankrupt,https://www.youtube.com/watch?v=Z0TC3AzU6TE,"636,990 views",12K,305,India's Craziest City | Varanasi 🇮🇳,35,198
bald and bankrupt,https://www.youtube.com/watch?v=ZEfEcvhrGiM,"654,822 views",13K,372,Varanasi Religious Night Market 🕉,33,358
bald and bankrupt,https://www.youtube.com/watch?v=Wt5UGUmEThg,"3,188,320 views",55K,1.9K,Avoiding Religious Scammers And Touts In Varanasi 🕉,51,189
bald and bankrupt,https://www.youtube.com/watch?v=79QlmltqDyI,"2,301,365 views",78K,8.4K,10 Things I Hate About India! 🇮🇳,32,192
bald and bankrupt,https://www.youtube.com/watch?v=g4y2lciy6AA,"410,884 views",14K,198,Foreigner Teaches Essential Hindi Phrases 🇮🇳,44,476
bald and bankrupt,https://www.youtube.com/watch?v=4n4oOiU1BC8,"1,850,163 views",48K,986,"Sikh For A Day | Amritsar, India",32,269
bald and bankrupt,https://www.youtube.com/watch?v=wjz3mqYNnms,"631,511 views",14K,367,Morning Vegetable Market Tour 🍆🍌🌽,33,263
bald and bankrupt,https://www.youtube.com/watch?v=TkGoYD52KwM,"2,222,590 views",46K,1K,🇮🇳 Trying $1 Punjabi Kulcha // Indian Food Vlog,47,161
bald and bankrupt,https://www.youtube.com/watch?v=aX-IC92uFpc,"254,794 views",7.4K,291,I Give An Indian Man 🍆 Advice // Full Interview,47,245
bald and bankrupt,https://www.youtube.com/watch?v=Ap_Fms-xwSI,"994,975 views",34K,1.7K,Funny India - Pakistan Border Ceremony 🇮🇳,41,273
bald and bankrupt,https://www.youtube.com/watch?v=MNYRAhlClrE,"1,298,706 views",31K,906,Foreigner Wears A Turban In India 👳‍♂️,38,239
bald and bankrupt,https://www.youtube.com/watch?v=LdvctWZ23n0,"1,023,414 views",15K,547,Tibetan Market & Temple Tour // Delhi,37,264
bald and bankrupt,https://www.youtube.com/watch?v=60JKeARTL60,"919,702 views",15K,442,Delhi's Secret Tibetan Colony | Majnu-ka-tilla,46,362
bald and bankrupt,https://www.youtube.com/watch?v=Ey-aWXdZmSY,"1,229,444 views",30K,794,On The Run From The Indian Police 👨🏾‍✈️,39,302
bald and bankrupt,https://www.youtube.com/watch?v=aZmClvjsptc,"1,649,213 views",29K,2.1K,Attacked At India's Most Expensive Hotel 🇮🇳,43,290
bald and bankrupt,https://www.youtube.com/watch?v=qFd8Mwg1cws,"1,002,892 views",28K,627,Crazy Indian Street Bar // Kingfeemer Time!,43,249
bald and bankrupt,https://www.youtube.com/watch?v=T-o1qCNFcBU,"1,610,921 views",31K,1.3K,Rickshaw Scam | First Day Back In India!,40,301
bald and bankrupt,https://www.youtube.com/watch?v=vCIG3LmnPAs,"1,462,213 views",28K,632,Where Tourists Don't GO 🇮🇳,26,351
bald and bankrupt,https://www.youtube.com/watch?v=RxJy-U3udew,"3,646,168 views",109K,3.4K,India's Toughest Street Gang,28,204
bald and bankrupt,https://www.youtube.com/watch?v=duLkedqwkI4,"254,746 views",5.4K,125,Drunk Mumbai Television Interview ( Pure Cringe ),49,297
bald and bankrupt,https://www.youtube.com/watch?v=-ZxbK-zd3Q4,"4,396,794 views",54K,1.8K,India's Russian Beach | Arambol 🇷🇺,34,187
bald and bankrupt,https://www.youtube.com/watch?v=tsmmleDftsc,"2,731,066 views",31K,1.6K,Goa Beach Hotel Hunt India,26,169
bald and bankrupt,https://www.youtube.com/watch?v=V5B-bJMgHdU,"548,346 views",10K,229,"Jodhpur Backstreet Tour, India",30,209
bald and bankrupt,https://www.youtube.com/watch?v=AYK5dSRHbj4,"1,184,136 views",17K,1.7K,Foreigners Ride A Local Indian Bus!,35,259
bald and bankrupt,https://www.youtube.com/watch?v=BNk99L1HAwE,"963,933 views",14K,882,Indian Bus Scammer Exposed! 🇮🇳,30,299
bald and bankrupt,https://www.youtube.com/watch?v=mwKgytCI3gs,"1,473,544 views",41K,1.2K,I Almost Died In India //Terrifying Fairground Ride,51,206
bald and bankrupt,https://www.youtube.com/watch?v=jSHFMTjTQvE,"921,478 views",15K,391,Arrival In India,16,176
bald and bankrupt,https://www.youtube.com/watch?v=91w4GkdGfVA,"6,610,792 views",137K,4.7K,Avoid This Guy In India! | Crazy Beggar,39,227
bald and bankrupt,https://www.youtube.com/watch?v=TElOv0th_V4,"846,468 views",13K,399,Exploring Mumbai's Oldest Market,32,197
bald and bankrupt,https://www.youtube.com/watch?v=LhXPsk7cfsU,"139,741 views",4.3K,55,Foreigner Drives Rickshaw In Delhi 🚕,36,283
bald and bankrupt,https://www.youtube.com/watch?v=ma0_DBP7XbI,"121,890 views",3.3K,47,Riding The Rails In Mumbai // India,35,236
bald and bankrupt,https://www.youtube.com/watch?v=gLJy5njInoc,"2,052,120 views",46K,1.1K,Solo In India's Biggest Slum | Dharavi Mumbai,45,429
bald and bankrupt,https://www.youtube.com/watch?v=3ALtc87WW4E,"1,504,958 views",26K,775,Mumbai Mall Party,17,335
bald and bankrupt,https://www.youtube.com/watch?v=_MdmxP4yUj8,"921,265 views",14K,553,Drinking With Indian Girls! 👩🏿,30,120
bald and bankrupt,https://www.youtube.com/watch?v=CiCBBTewaOo,"302,300 views",6.9K,419,Mumbai Islamic Market Hunt 🕋,28,314
bald and bankrupt,https://www.youtube.com/watch?v=nWxCDgWy5SY,"1,998,829 views",25K,1.1K,Bombay Bhabhi Market Hunt 🍆,27,119
